text,post_type
"['หา', 'อาจารย์', 'ชาตรี', 'มหัทธน', 'basic', 'Elec', 'อังคาร', 'เช้า', 'ช่องทาง', 'ติดต่อ', 'มั่ง', 'ไลน์', 'L9', 'แชท', 'ตัว', 'อาจารย์']",3

['หรอ'],3

"['หา', 'เพื่อนน้อง', 'เด็ก', 'ซิ่ว', 'Dekhybrid', '6465']",3

"['แนะนำ', 'อาจารย์', 'สอน', 'ท็อป', 'ฟอร์ม', 'วิชา', 'บ']",3

"['แนะนำ', 'เกี่ยว', 'สาขา', 'เรียน', 'เกี่ยว', 'น้อง', 'สาว', 'สอบ', 'ติด']",3

"['จอง', 'ด่วน', '1', 'ห้อง', 'สุดท้าย', 'ห้อง', 'พัก', 'ว่าง', 'สิรินพาร์ค', '4', 'ใกล้เซเว่น', 'ชาย', 'สี่', 'หมี่เกี๊ยว', 'น้ำ', 'ไฟ', 'ราคา', 'หลวง', 'บวก', 'น้ำ', '12', 'บาท', 'ไฟ', '4', 'บาท', 'ต่ำ', 'จ่าย', 'ตอน', '1', 'ห้อง']",1

"['รีวิว', 'อาจารย์', 'วิชา', 'เรียน', 'อาจารย์', 'คน', 'ดี']",3

"['พี่', 'คน', 'แนว', 'ข้อ', 'สอบ', 'รอบ', 'สอบ', 'สาขา', 'ไหม']",3

"['สอบถาม', 'คิดเห็น', 'ห้อง', 'สูบ', 'บุหรี่', 'กลิ่น', 'ห้อง', 'ทำ', 'อดทน', 'สูบ', 'ระเบียง']",3

"['สอบถาม', 'แมททีเรียล', '030103100', 'เซคไหน', 'เต็ม', 'ไหม']",3

"['ทราบ', 'ไหม', 'ไลน์', 'กิน', 'ดี', 'กด', 'หมุน']",3

"['หา', 'หอราคา', '3500', 'เดิน']",3

"['มอ', 'ร้าน', 'บริการ', 'เสริม', 'งาม', 'เกี่ยว', 'เล็บ', 'เท้า', 'ไหม', 'ตัด', 'เล็บ', 'ขบไหม', 'ร้าน', 'แนะนำ', 'ผม', 'เจ็บ', 'เล็บ', 'ขบง่ะ']",3

"['รีวิว', 'วิชา', 'วทอ', 'เรียน', 'วิชา']",3

"['หา', 'หอ', 'แถว', 'มอ', 'ราคา', '4500', 'บาท', 'แนะนำ', 'หอ']",3

"['สอบถาม', 'พี่', 'สัมภาษณ์', 'คณะครุศาสตร์', 'วิศวกรรม', 'ไฟฟ้า', 'ศึกษา', 'อิเล็กทรอนิกส์', 'โครงการ', 'เรียน', 'ดี', 'เตรียม', 'ตัว']",3

"['แนะนำ', 'ร้าน', 'อาหาร', 'มอ', 'น้อง', 'โค', 'มอ', 'รู้', 'ร้าน', 'อร่อย']",3

"['อนุญาต', 'สอบถาม', 'พี่', 'มจพ', 'คณะวิทยาศาสตร์ประยุกต์', 'สาขา', 'ฟิสิกส์', 'อุตสาหกรรม', 'อุปกรณ์', 'แพทย์', 'รอบ', 'สอบ', 'สัมภาษณ์', 'สัมภาษณ์', 'โหด', 'สัมภาษณ์', 'อ่ะไร', 'ขอบคุณ']",3

"['kmutnb', 'มจพ', 'สำหรับ', 'เด็ก', '65', 'หา', 'หอ', 'พัก', 'มจพ', 'แนะนำ', 'ซวงศ์', 'สว่าง', '11', 'ประตู', 'พระจอม', 'เดิน', '5', 'นาที', 'ห้อง', 'พัก', 'เลือก', 'ต้องการ', 'คน', 'ร่มรื่น', 'สะอาด', 'ปลอด', 'ภัย', 'เฟอร์นิเจอร์', 'อำนวย', 'สะดวก', 'ตู้', '711', 'fitness', 'สนใจ', 'สอบถาม', 'Line', 'ID', 'ulifeapartment', '0906255581', 'พระนครเหนือ', 'พระจอมเกล้าพระนครเหนือ', 'หอม', 'จพ', 'หอ', 'พักหลัง', 'มจพ', 'หอพักวงศ์', 'สว่าง', '11', 'มจพ', '65', 'หอ', 'พัก', 'kmutnb', 'หอ', 'พักพระจอมเกล้าพระนครเหนือ', 'หอ', 'พักใกล้ม', 'จพ']",1

"['หนังสือ', 'เล่ม', '100', 'บาท', 'สนใจ', 'ทัก', 'ตัว', 'นัด', 'มอ', 'มอ']",1

"['วิชา', 'HERBS', 'FOR', 'HEALTH', 's', '1', 'ทราบ', 'ตอน', 'ไหม']",3

"['อนุญาต', 'หา', 'ปล่อย', 'เช่า', 'คอนโด', 'แถว', 'เตา', 'ปูน', 'ซื่อ', 'ติด', 'รถ', 'ไฟฟ้า', 'ดี', '9000', 'เดือน', 'แบ่ง', 'โซน', 'ชัดเจน', 'ดี']",3

"['หาหอราคา', '35005000', 'เน็ต', 'ดี', 'ติดเน็ต']",3

"['สอบถาม', 'สอบ', 'ข้อ', 'สอบ', 'สัมภาษณ์', 'พรุ่ง', 'สอบ', 'รอบ', 'โควต้า', 'เรียน', 'ดี', 'เลือก', '3', 'อันดับ', 'ทราบ', 'ห้อง', 'สัมภาษณ์', 'สาขา', 'สัมภาษณ์', '3', 'ห้อง', 'หรอ', 'เลือก', '3', 'อันดับ']",3

"['กรุณา', 'คน', 'รี', 'วิว', 'กฎหมาย', 'A', 'ยากมั๊ย', 'อคน', 'เรียน', 'ดี', 'เรัยนง่าย', 'ขอบคุณ', 'คน']",3

"['รบกวน', 'รี', 'วิว', 'เลือก', 'เสรี', '3', 'วิชา', 'HUMAN', 'RELATIONS', 'DEVELOPMENT', 'DEVELOPMENT', 'OF', 'LIFE', 'QUALITY']",3

"['รบกวน', 'สอบถาม', 'Math2', 'เลือก', 'เซคไหน', 'ดี']",3

"['040433002', 'อาหาร', 'ชีวิต', 'ประจำ', '330', '080', '203901', 'มนุษย์', 'สังคม', '330', 'รีวิว']",3

"['สอบถาม', 'จิตอาสา', 'กยศ', 'เรียน', 'elearning', 'สามาเอา', 'ใส่', 'แผน', 'ก', 'ระดาษ', 'ไหม', 'ชม']",3

"['0100', 'u', 'lifeprime', '3', 'คน', 'เคาะ', 'ประตู', 'หา', 'เรื่อง', 'ถีบ', 'ประตู', 'ใส่', 'โดน', 'หน้า', 'รุ่น', 'น้อง', 'ดู', 'เมา', 'ฝาก', 'คน', 'ระวัง', 'รู้', 'หา', 'เรื่อง', 'คน', 'รึเปล่า']",3

"['วิชา', 'EXERCISE', 'Aง่าย', 'อาจารย์', 'คน', 'ดี']",3

"['ปี', '2566', 'เว็บ', 'มหาลัย', 'ปรับปรุง', '2003', '2023']",3

"['สนใจ', 'วิชา', 'ฟุตบอล', 'เรียน', 'อังคาร', '16001800', 'ทัก', 'เต็ม']",3

"['หา', 'ห้อง', 'พัก', 'โรง', 'แรม', 'ห้อง', 'ดี', 'แถว', 'มอ']",3

"['หา', 'เพื่อน']",3

"['อนุญาต', 'สอบถาม', 'ค้า', 'กรณี', 'ทะเบียน', 'ระบบ', 'สัก', 'วิชา', 'เนื่อง', 'เจ้าของ', 'เซค', 'วิชา', 'คณะ', 'ยื่น', 'เรื่อง', 'ทะเบียน', 'ปริ้น', 'ใบ', 'ชำระ', 'เทอม', 'ทะเบียน', 'วิชา', 'เรียน', 'แนะนำ', 'ค้า', 'ขอบ', 'ค้า']",3

"['หาหอพัก', 'งบ', '20004000', 'บาท', 'หอ', 'พัก', 'ใกล็', 'ประตูกลาง', 'ม', 'ดี', 'หาคน', 'รูม', 'เมท', 'ชิว']",3

"['รีวิว', 'คาบบ']",3

"['หา', 'บ้านเช่า', 'มหาลัย']",0

"['หา', 'คน', 'หาร', 'บ้าน', 'ค้าบ', 'ตก', 'คน', 'หล่ะ', '3000', '3', 'ห้อง', 'นอน', '2', 'ห้องน้ำ', 'ตอน', 'หา', '2', 'คน', 'ค้าบบบ']",0

"['โทด', 'ค้าบ', 'กะลังหา', 'คน', 'ทำ', 'งาน', 'คับ', 'ร้าน', 'ชาบุ', 'ล่ะ', '400', '450', 'ตลาด', 'นกฮุก', 'ค้าบ', 'โทร', 'คุย', 'ค้า', 'บบ', '081', '5594247', '—', 'แจ่วฮ้อน', 'โบราณ', 'ตลาด', 'นกฮูก']",3

"['เทอม', 'เรียน', 'ตัว', 'เซค', 'ง่า', 'ทัก', 'งั้บ', 'หา', 'เพื่อน', 'นั่ง', 'เรียน']",3

"['ดู', 'เปล่า', 'ขยับ', 'แปะ', 'กระจก', 'รบกวน', 'ดู', 'แปะ', 'กระจก', 'ผม', 'ศึกษา', 'ผม', 'ขยับ', 'รถ', 'ชน', 'กำแพง', 'หรอ']",3

"['แนะนำ', 'สาม', 'วิชา', 'เรียน', 'เกี่ยว', 'เกรด', '030933163', 'Language', 'Administ', 'MNGT', '030933164', 'Language', 'study', 'skills', 'development', '030933165', 'Language', 'strate', 'life', 'QUA']",3

"['ค้า', 'บบ', 'ผม', 'วิชา', 'Engineering', 'mathematics', '2', 'อะครับ', 'เลือก', 'อาจารย์', 'คน', 'ดี', '1', '2', 'ขอบคุณ']",3

"['เห็นใจ', 'สำหรับ', 'คน', 'ทรัพย์', 'เรียน', 'หวัง', 'กู้', 'เงิน', 'กยศ', 'ชำระ', 'ดอกเบี้ย', 'หวัง', 'แบ่งเบา', 'ภาระ', 'ครอบครัว', 'จ่าย', 'หอ', 'อาหาร', 'ตอน', 'กู้', 'เก่า', 'เงิน', 'สัก', 'งวด', 'นาม', 'เอกสาร', 'ร้อย', 'คน', 'รู้', 'เงิน', 'ตอน', 'ลำดับ', 'คิว', 'เลข', 'เหมือน', 'คิว', 'ข้าม', 'คิวที', 'คิว', 'เอกสาร', 'คน', 'แก้', 'นาม', 'กยศม', 'ชี้แจ้ง', 'ทำ', 'งาน', 'ลำดับ', 'คิว', 'สัก', 'ศึกษา', 'คน', 'หนี้', 'ระบบ', 'หน่วย', 'งาน', 'มอ', 'เรื่อง', 'โปรด', 'ทราบ', 'ปัญหา', 'ขอบคุณ', 'กยศ']",3

"['แนะนำ', 'ย้าย', 'วิชาเรียน', 'คณะวิศวะ', 'ไหม', 'รบกวน']",3

"['รีวิว', 'อาจารย์', 'คน', 'คอมโปรวทอ']",3

"['ร้าน', 'มอ', 'พนักงาน', 'พาร์ทไทม์', 'ไหม']",3

"['สอบถาม', 'ดรอปเทอม', '2', 'เทอม', 'ปัญหา', 'ไหม', 'ตอน', 'เรียน', 'ปี', '4', 'เทอม', '1', 'เตรียม', 'เอกสาร', 'ไหม', 'รบกวน']",3

"['สอบถาม', 'ซื้อ', 'แมคบุ้ค', 'แน่ใจ', 'โปรแกรม', 'แมค', 'อาจารย์', 'ตัว', 'แทน', 'พี่', 'ทราบ', 'วินโดว์', 'แมค', 'C', 'language', 'Orcad', 'Quartus', 'll', '131', 'เรียน', 'ครุวิศวะ', 'ไฟฟ้า', 'ขอบคุณ', 'ล่วงหน้า']",3

"['สอบถาม', 'เรียน', 'ไหม', 'รี', 'วิว']",3

"['แนะนำ', 'อาจารย์', 'วิชา', 'S', '1', 'อาจารย์โอเค', 'คน', 'แนะนำ', 'คับ', 'พัฒนา', 'คุณภาพ', 'ชีวิต']",3

"['เรียน', 'วิชา', 'DEVELOPMENT', 'OF', 'LIFE', 'QUALITY', 'แนะนำ', 'เรียน', 'เกี่ยว', 'อาจารย์', 'คน', 'ดี', 'ขอบคุณ']",3

"['วุฒิปวส', 'เทียบ', 'โอน', 'ศึกษา', 'วิชา', 'เครื่องมือ', 'วัด', 'อัตโนมัติ', 'อะ', 'พี่', 'คน', 'แนะแนว', 'ข้อ', 'สอบ', 'ข้อ', 'ไหม', 'หนู', 'อ่าน', 'เรื่อง']",3

"['วิชา', 'เรียน', 'อาจารย์', 'คน', 'ดี', 'แนะนำ']",3

"['วิธี', 'ติดต่อ', 'วิชา']",3

"['อนุญาต', 'สอบถาม', 'ยื่น', 'เรื่อง', '1', 'อาทิตย์', 'ทราบ', 'หรอ', 'ยื่น', 'เรื่อง', 'ไหม']",3

"['รอ', 'เปล่า']",3

"['มหาลัย', 'ใส่', 'เวลา', 'โอน', 'ไหจ', 'ไหร่', 'คืน', 'กรณ๊', 'ขยาย', '4', 'รอบ', 'โอน', 'เงิน', 'นศ', 'โอน', '2', 'มหาวิทยาลัยเทคโนโลยี', 'อนุมัติ', 'ซ้ำซ้อน', 'ขั้นตอน', 'ผม', 'จงใจ', 'เงิน', 'ตกค้าง', 'มหาวิทยาลัย', 'เลข', 'บัตร', 'ประจำ', 'ตัว', 'ประชาชน', 'ศึกษา', 'อยุ่', 'บัญชี', 'ธนาคาร', 'บุคคล', 'บัตร', 'ศึกษา', 'อยุ่', 'ดำเนินการ', 'เทอม', 'ศึกษา', 'คน', 'รอ', 'มหาวิทยาลัย', 'ประกาศ', 'ชัดเจน', 'เรื่อง', 'เวลา']",3

"['รบกวน', 'รีวิว', 'อาจาร', 'ขอบคุณ']",3

"['หา', 'รุ่น', 'พี่', 'BME', 'สอบถาม', 'เกี่ยว', 'เรื่อง', 'เรียน', 'เตรียม', 'ตัว']",3

"['ทะเบียน', 'เรียน', 'รอ', 'เทอม', 'สำหรับ', 'คน', 'ลา', 'พัก', 'ทะเบียน', 'อ่ะ']",3

"['เรียน', 'อาจารย์']",3

"['สอบถาม', 'น้อง', 'ปี', '1', 'เสื้อ', 'ช็อป', 'คณะ', 'วิศวะ', 'มหาลัย', 'รูปแบบ', 'เรื่อง', 'ตัด', 'เสื้อ', 'ช็อป', 'ลักษณะ', 'อักษร', 'ปัก']",3

"['สอบถาม', 'แนะนำ', 'ไหม', 'ตัว']",3

"['รบกวน', 'รีวิว', 'อาจารย์', 'สอน', 'วิชา', 'STAT', 'ENG', 'Sci', 'วิชา', 'ENG', 'Math', '3', 'ขอบคุณ', 'ล่วงหน้า']",3

"['เรียน', 'Eng', 'Oral', 'เรียน', 's', '3334']",3

