text,post_type

"['เจอ', 'บัตร', 'นิสิต', 'ตู้', 'กด', 'เงิน', 'ประตู', '4', 'บัตร', 'ทักแชท', 'ตัว', 'ผม']",0

"['อนุญาต', 'หา', 'กระเป๋า', 'ตังค์', 'สี', 'เทา', 'บัตร', 'ประชาชน', 'atm', 'เงิน', 'สด', 'รบกวน', 'เจอ', 'ติดต่อ', 'เบอร์', '0816751166', 'แก้ม', 'รางวัล', 'ขอบคุณ']",0

"['อนุญาต', 'หา', 'กระเป๋า', 'ตังค์', 'สี', 'เทา', 'บัตร', 'ประชาชน', 'atm', 'เงิน', 'สด', 'รบกวน', 'เจอ', 'ติดต่อ', 'เบอร์', '0816751166', 'แก้ม', 'รางวัล', 'ขอบคุณ']",0

"['ติดต่อ', 'เคาน์เตอร์', '711', 'ประตู', '6']",0

"['เจอ', 'ตรงสระ', 'ฝั่ง', 'คณะ', 'เภสัชค้าบ', 'หาย']",0

"['กระเป๋า', 'ตัง', 'สี', 'น้ำตาล', 'บัตร', 'ชื่อ', 'ไหม']",0

"['น้อง', 'แมว', 'หาย', 'ไหม']",0

"['หา', 'เจ้าของ', 'กระเป๋า', 'รับคืน', 'ร้าน', 'ข้าว']",0

"['หาapple', 'pencill', '2', 'คาด', 'หาย', 'ตึกคณะวิทย์', 'พุธ', '7', 'ธันวา', 'เวลา', 'ราว', 'บ่าย', '3']",0

"['หา', 'กระเป๋า', 'ตังหาย']",0

"['ไคเจอ', 'น้อง', 'ทักหา', 'ติดต่อ', 'เป็นห่วง', 'น้อง', 'ร้าน', 'น้องหาย', 'คืน', 'ร้าน', 'หลบมุม', 'ซัก', 'น้องขี้', 'กลัว', 'ไคเหน', 'น้อง', 'เดิน', 'หลง', 'หอไค', 'เจอ', 'น้อง', 'ติดต่อ', 'น้อง', 'อ้วน', 'ชื่อ', 'ทิก', 'เก้อ', 'น้อง', 'แถว', 'หอ', 'ธนภูมิ', 'พิกัดร้าน', 'เปิ้ล', 'บิวตี้', 'เซเว่น', 'ประตู', '6', '0618068855']",0

"['ทำ', 'เงิน', 'จำนวน', 'หาย', 'ลาน', 'แมว', 'ทัก']",0

"['Apple', 'pencil', 'กล่อง', 'ลืม', 'สำนักหอสมุด', '1718', 'พย', 'ติดต่อ', 'สำนักหอสมุด', 'ชั้น', '1']",0

"['หากะ', 'เป๋า', 'หนัง', 'สี', 'ดำ', 'กะเป๋า', 'สะพาย', 'หญิง', 'ทำ', 'หล่น', 'ถนนชลบุรี', 'เจอ', 'คืน', 'อย่า', 'คน', 'ชาติ', 'หน้า']",0

"['ทำ', 'ตก', 'แถว', 'ลาน', 'จอด', 'รถ', 'คณะมนุษยศาสตร์']",0

"['ผม', 'ลืม', 'กระเป๋า', 'เงิน', 'สี', 'ดำ', 'เก้าอี้', 'หน้า', 'ปั๊ม', 'ปตทห้วย', 'กระบอก', 'บ้านโป่ง', 'เอกสาร', 'ตอน', 'ผม', 'แจ้ง', 'เรียบร้อย', 'ติดตาม', 'เอกสาร', 'คืน', 'ใด', 'เจอ', 'เงิน', 'กระเป๋า', 'ผม', 'รบกวน', 'กระเป๋า', 'เอกสาร', 'ผม', 'บัตร', 'ประชาชน', 'กระเป๋า', 'ติดต่อ', 'เบอร์', '0840538563', 'ขอบคุณ']",0

"['พบเห็น', 'คีย์การ์ด', 'ลักษณะ', 'ติดต่อ', 'เฟสบุ๊ค', 'คอมเมนท์', 'โพสต์', 'ขอบคุณ']",0

"['ทำ', 'คีย์', 'การ์ด', 'ตก', 'แถว', 'สระ', 'สอง', 'กษัตริย์', 'ไหม']",0

"['คืน', 'ร้านมิสเตอร์ส', 'เต็ก', 'รางวัล', 'หล่น', 'หาย', '3', 'ตุลาคม', '65', 'กุญแจ', 'รีโมท', 'ติด', 'ลูกกระดิ่ง', 'กรุ้งกริ้ง', 'หาย', 'ถนน', 'ตัวยูหลัง', 'มน']",0

"['กุญแจ', 'หาย', 'รับคืน', 'แม่บ้าน', 'ศูนย์', 'อาหาร']",0

"['หา', 'ตุ๊กตา', 'แน่ใจ', 'ทำ', 'หล่น', 'หาย', 'คลีนิคเดนทัลโฮม', 'ร้าน', 'กิ้ฟ', 'ช้อป', 'เคโระ', 'ฟินลี่แลนด์', 'แวะ', 'ซื้อ', 'ไส้', 'กรอก', 'อีสาน', 'เซเว่น', 'ประตู', '6', 'ฟินลี่', 'แลน', 'ซอย', 'เคโระ', 'ซื้อ', 'ไส้', 'กรอก', 'อีสานเซเว่น', 'ประตู', '6', 'ถนน', 'ข้างคลองชล', 'พบเห็น', 'ติดต่อ', 'โทร', '0970547876', 'แจน', 'ติดต่อ', 'เฟส']",0

"['หา', 'กระเป๋า', 'สพาย', 'สี', 'น้ำตาล', 'วาง', 'หลังคา', 'รถ', 'รู้', 'ตก', 'แถว', 'แถว', 'ถนน', 'สะแก', 'งาม', 'กาญจนาภิเษก', 'พบเห็น', 'ติดต่อ']",0

"['หา', 'หู', 'ฟัง', 'เหมือน', 'รูป', 'ผม', 'ทำ', 'หล่น', 'แถว', 'ถนน', 'ขุนนนท์', 'ขอบคุณ']",0

"['อนุญาต', 'พบเห็น', 'สาย', 'ชาร์จไอ', 'โฟน', 'รูป', 'ไหม', 'หาย', 'บริเวณ', 'บขส', 'เก่า', 'แยก', 'วุ่นวาย', 'เวลา', '11001200', 'เจอ', 'คืน', 'ขอบคุณ']",0

"['กุญแจ', 'ลืม', 'ติดต่อ', 'สำนักหอสมุด', 'ชั้น', '1']",0

"['บัตร', 'ประชาชน', 'หาย', 'ติดต่อ', 'ค้า']",0

"['โทรศัพท์', 'หล่น', 'หาย', 'IPhone', '7', 'plus', 'หล่น', 'แท็กซี่', 'ทักหา', 'ผม', 'โทรศัพท์', 'ล็อก', 'จอ', 'รู้', 'ติดต่อ', 'เจ้าของ']",0

"['ตก', 'ATM', 'กสิกร', 'สาขาหอ', 'ฝาก', 'ป้อม', 'รปภ', 'ฝั่ง', 'หน้า', 'หอ']",0

"['อณุญาต', 'กระเป๋า', 'เงิน', 'ตกหล่น', 'ถนน', 'ตึก', 'คณะ', 'บริหาร', 'ติดต่อ', 'ค้าบ', 'เงิน']",0

"['อนุญาต', 'กระเป๋า', 'วาง', 'รถ', 'เจอ', 'กิจกรรม', 'บริเวณ', 'ลาน', 'จอด', 'รถ', 'ถ้าหา', 'ติดต่อ']",0

"['อนุญาต', 'สาย', 'ชาร์จไอแพด', 'แอร์', '5', 'สาย', 'หาย', '20', 'สค', 'แถว', 'บริเวณ', 'ห้อง', 'สโม', 'คณะแพทยศาสตร์', 'รบกวน', 'ติดต่อ', 'ขอบคุณ']",0

"['อนุญาต', 'คน', 'ลืม', 'เสื้อ', 'คลุม']",0

"['อนุญาต', 'ทำ', 'เงิน', 'ตก', 'แบงค์', '1000', 'ร้านสเต๊ก', 'กระทะ', 'ร้อน', 'หน้า', 'มอ', 'ร้าน', 'ศูนย์รวมแก้ว', 'ประตู', '6', 'เจอ', 'ติดต่อ', 'เดือดร้อน', 'รอ', 'ก', 'วน']",0

"['ทำ', 'เงิน', 'หล่น', 'สำนักหอสมุด', 'ติดต่อ', 'จำนวน', 'เงิน']",0

"['ทำ', 'เงิน', 'หล่น', 'สำนักหอสมุด', 'ติดต่อ', 'จำนวน', 'เงิน']",0

"['พบเห็น', 'กระเป๋า', 'รูป', 'ไหม', 'หาย', 'บริเวณ', 'จอด', 'รถ', 'สระหน้าหอ', '5', 'โมง', 'เย็น', 'เงิน', 'สด', 'บัตร', 'ประจำ', 'ตัว']",0

"['กระเป๋า', 'ตัง', 'รู้', 'บัตร', 'เงิน', 'สด', '1000', 'บาท']",0

"['หา', 'กระเป๋า', 'ตังครับ', 'ผม', 'รูป', 'ทำ', 'หล่น', 'หาย', 'หอวรามิตร', 'ร้าน', 'ซัก', 'ผ้าดราก้อน', 'ประตู', '6', 'เจอ', 'ติดต่อ', 'เบอร์', '0623105240', 'ขอบคุณ', 'ผม']",0

