,text,post_type
0,"['อัพเดท', '01082022', 'แผนที่', 'เดิม', 'ลอง', 'ทำ', 'แผนที่', 'หอพัก', 'มจพกรุงเทพ', 'แนวทาง', 'น้อง', 'หอ', 'พัก', 'น้อง', 'คน', 'หา', 'หอ', 'พัก', 'ติดต่อ', 'หอ', 'พัก', '…', 'โหลด', 'แผนที่', 'ชัดเจน', 'ภาพ', 'แตก', 'ลิงค์']",3
1,"['ขายคีย์บอร์ด', 'Maxfit108', 'ราคา', '1000', 'ทัก', 'แชท']",1
2,"['ประกาศ', 'ชื่อ', 'น้า']",3
3,"['แนว', 'ข้อ', 'สอบ', 'รอบ', 'สอบตรง', 'สำหรับ', 'ปวส', 'รู้', 'ข้อ', 'สอบ', 'แนว', 'เรื่อง', 'วิชา', 'สามัญ']",3
4,"['หา', 'เพื่อน', 'ติว', 'แมท', '2']",3
5,"['ประกาศ', 'ชมรมมวยสากลสมัคร', 'เล่น', 'เชิญชวน', 'นิสิต', 'ศึกษา', 'มจพ', 'ท่าน', 'สนใจ', 'กีฬามวยสากล', 'แข่งขัน', 'มวย', 'สากล', 'สมัคร', 'เล่น', '1316', 'กพ', '66', 'สมัคร', 'จันทร์', '23', 'มค', '66', 'เตรียม', 'ชั่ง', 'นน', 'ชั้น', '10', '12', 'อาคาร', '40', 'เวลา', '1700', '2000', 'เตรียม', 'ตัว', 'เตรียมใจ', 'สังเวียน', 'ยยย']",3
6,"['รุ่นพี่', 'MHE', 'รีวิว', 'ไหม']",3
7,"['หา', 'คอนโด', 'เช่า', 'แถว', 'มอ', 'งบ', '6500', 'งับ', 'บ']",3
8,"['หา', 'คน', '2', 'คน', 'คับ', 'บบ']",3
9,"['เทคโนโลยี', 'สารสนเทศ', 'เรียน', 'ปราจีน', '4', 'ปี']",3
10,"['แมว', 'ส้ม', 'ไหม', 'ชื่อ', 'จู้', 'แถว', 'หมู่', 'บ้าน', '2', 'พบเห็น', 'โปรด', 'แจ้ง', 'ขอบคุณ']",0
11,"['PnetPE', 'เรื่อง', 'เรียน', 'สังคม', 'พี่', 'แนะ']",3
12,"['ขาย', 'อนุญาติขาย', 'ตู้', 'เย็น', 'ราคา', '950', 'บาท', 'สภาพ', 'เก่า', 'งาน', 'ดี', 'หมู่', 'บ้านสิรินพาร์ค', '2', 'ย้าย', 'ขน']",1
13,"['โทรศัพท์', 'วาง', 'เบาะ', 'รถ', 'ทะเบียน', 'รูป', 'ติดต่อ', 'ร้าน', 'อาหาร', 'หน้า', 'หอสุนทรีย์']",0
14,"['ขาย', 'สัญญา', 'คอนโด', 'AspireWongsawang', '14000', '10000', 'ไฟ', 'น้ำ', 'มาตรฐาน', 'ห้อง', 'เดือน', '7000', 'เครื่อง', 'ซัก', 'ผ้า', 'ตู้', 'เย็น', 'ทำ', 'กับข้าว', 'สัญญา', 'สิ้นสุด', '7052566']",1
15,"['หา', 'หอ', 'พัก', 'ราคา', '4500', 'บาท', 'ซอยวงศ์', 'สว่าง', '11']",3
16,"['ขาย', 'ตู้', 'เย็น', 'มือ', 'สอง', 'ไหม']",3
17,"['ทราบ', 'ประกาศ', 'สัมภาษณ์', 'กี่', 'โมง']",3
18,"['ตู้', 'เย็น', 'ขอบคุณ', 'ปล่อย', 'ตู้', 'เย็น', 'มือ', 'สอง', 'ไหม', 'ต้องการ', 'ราคา', '3000', 'นิดนึง']",1
19,"['เจ้าหน้าที่', 'ฝาก', 'บัตร', 'ลืม', 'ยิม', 'สนามบอล', 'รับคืน']",0
20,"['อนุญาต', 'สอบถามค', 'มจพ', 'กิน', 'ขาย', 'มอ']",3
21,"['สอบถาม', 'หา', 'หอ', 'ราคา', 'เรท', 'แรง', 'หนู', 'คน', 'ห้อง', 'พัดลม', 'ได้แอร์']",3
