text,post_type

"['หัว', 'ปาก', 'กา', 'ipad', 'ค้า', 'บบ', '198', '฿', 'มอซอย', '2', 'น้า', 'มอวัน', 'จันทร์', '1']",1

"['น้อง', 'พี่', 'มจพ', 'คน', 'ตอน', 'เพิ่มช่องทาง', 'ติดต่อ', '1', 'ช่องทาง', 'Line', 'คน', 'ติดตาม', 'กิจกรรม', 'ปี', '2566']",3

"['เสื้อ', 'พละไซส์', 'L', '฿', 'นัด', 'มอคับ', 'ทัก', 'เล้ย']",1

"['ภาพ', 'บรรยากาศ', 'งาน', 'Jobfair', 'มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนคร', 'เหนือ', '19', 'มกราคม', '2023', 'ไดกิ้น', 'อินดัสทรีย์', '81', 'คณะวิศวกรรมศาสตร์', '1920', 'มกราคม', '2023', '1920', 'มกราคม', '2023']",3

"['ขาย', 'สัญญา', 'คอนโด', 'AspireWongsawang', '14000', '10000', 'ไฟ', 'น้ำ', 'มาตรฐาน', 'ห้อง', 'เดือน', '7000', 'เครื่อง', 'ซัก', 'ผ้า', 'ตู้', 'เย็น', 'ทำ', 'กับข้าว', 'สัญญา', 'สิ้นสุด', '7052566']",1

"['ลืม', 'โทรศัพท์', 'ทิ้ง', 'นั่ง', 'สวนปาล์ม', 'เจอ', 'เวลา', '1800', 'ศุกร์', 'ติดต่อ', 'ผม', 'ติดต่อ', 'ตึก', 'คณะ', 'สถาปัตยกรรม', 'น้อง']",0

"['พบเห็น', 'แมว', 'ส้ม', 'ไหม', 'ชื่อ', 'จู๋', 'แถว', 'หมู่', 'บ้าน', '2', 'พบเห็น', 'โปรด', 'แจ้ง', 'ขอบคุณ']",0

"['ขาย', 'สัญญา', 'หอ', 'Ulife', 'Prime', 'ตึก', '4', 'ชั้น', '8', 'สัญญา', '10000', 'บาท', 'หอ', 'เดือน', '7200', 'บาท', 'สัญญา', '31', 'พฤษภาคม', '2566', 'ต้น', 'เดือน', 'กุมภาพันธ์']",1

"['ขาย', 'อะเดปเตอร์หู', 'ฟัง', 'USBC', 'ไอแพด', 'air', '4air', '5', 'ซื้อ', 'แกะ', 'กล่อง', 'ดู', 'แน่นอน', 'ซื้อ', 'ช็อป', 'แอปเปิ้ล', 'ราคา', '370', 'บาท', 'นัด', 'ตึก', '40', 'ปี', 'ตึก', '52', '44']",1

"['Engineering', 'KMUTNB', 'Super', 'HiTech', 'Job', 'Fair', '2023', 'หา', 'งาน', 'งง', 'จ๊อบ', 'แฟร์', 'สมัคร', 'สนใจ', 'พระจอมเกล้าพระนครเหนือ', 'ชั้น', '1', 'อาคาร', '81', 'คณะวิศวกรรมศาสตร์', 'มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ']",3

"['แบ่ง', 'ขาย', 'หัว', 'ปาก', 'กา', 'หัว', '230', 'บาท', 'แท้จาก', 'ศูนย์', 'นัด', 'มอ', 'มอ']",1

"['ทำ', 'ตก', 'แถว', 'หน้า', 'ห้อง', 'สมุด', 'ฝาก', 'พี่', 'เจ้าหน้าที่', 'ห้อง', 'สมุด', 'ชั้น', '7']",0

"['ปล่อย', 'สัญญา', 'ขาย', 'ประกัน', 'หอ', 'หอ', 'พักสมาร์ท', 'เพลส', 'ชั้น', '5', 'มอ', 'เดิน', '5', 'นาที', 'จ่าย', '10000', 'สัญญา', 'ตอน', 'คืน', '12000', 'ห้อง', 'เดือน', '4900', 'เน็ต', 'ห้อง', 'ละเรา', 'เตอร์']",1

"['เจอ', 'บัตร', 'ศึกษา', 'หาย', 'ฝาก', 'ป้อม', 'ยาม', 'แถว', 'ตึก', 'วิศวะ']",0

"['ขาย', 'พัดลม', 'M', '2', 'ใบ', '12', 'สี', 'พีช', 'แกะ', 'กล่อง', 'ราคา', '500', 'บาท', 'นัด', 'มอ', 'มอ']",1

"['รบกวน', 'หู', 'ฟัง', 'รูป', 'รบกวน', 'คืน', 'โซน', 'หน้า', 'มอ', 'ตึก', '6265', 'ลาน', 'มะเร็ง', 'ติดต่อ', 'เฟส', 'เบอร์', '0832491670']",0

"['เจอ', 'หูฟัง', 'marshall', 'หาย', 'นึง', 'ติดต่อ', 'น้า', 'บริเวณ', 'คาด', 'ตก', 'โรงอาหาร', 'Ustore', 'สนาม', 'ลอยฟ้า', 'คณะ', 'สถาปัต', 'ขอบพระคุณ']",0

"['อนุญาติขาย', 'ตู้', 'เย็น', 'ราคา', '950', 'บาท', 'สภาพ', 'เก่า', 'งาน', 'ดี', 'หมู่', 'บ้านสิรินพาร์ค', '2', 'ย้าย', 'ขน']",1

"['บุญ', 'เบื้องหลัง', 'สุข', 'สำเร็จ', 'ชีวิต', 'เริ่มต้น', 'ดี', 'ชีวิต', 'ปัง', 'งง', 'เชิญชวน', 'ท่าน', 'สั่ง', 'สมบุญ', 'ตักบาตร', 'ปี', 'ปี', '2566', 'เติม']",3

"['AirPods', 'Jame', 'งือ', 'อ', 'ใส่', 'เคส', 'ใส่', 'พวง', 'กุญแจ', 'สี', 'แดง']",1

"['ทำ', 'ตก', 'บ่อเต่า', 'ฝาก', 'ป้อม', 'ยาม']",0

"['อนุญาต', 'ตอน', 'ห้อง', 'หลุด', 'จอง', 'สนใจ', 'ติดต่อ', 'ราคา', '5300', 'บาท', 'เดือน']",1

"['โทรศัพท์', 'วาง', 'เบาะ', 'รถ', 'ทะเบียน', 'รูป', 'ติดต่อ', 'ร้าน', 'อาหาร', 'หน้า', 'หอสุนทรีย์']",0

"['ตู้', 'เย็น', '21', 'คิว', 'ว่าง', 'เช่า', 'เดือน', '170', 'บาท', 'หอ', 'อาทิตย์', 'เย็น', 'มัด', 'สนใจ', 'inbox', 'สอบถาม']",1

"['เจ้าหน้าที่', 'ฝาก', 'บัตร', 'ลืม', 'ยิม', 'สนามบอล', 'รับคืน']",0

"['ประกาศ', 'ชื่อ', 'น้า']",3

"['ค้าบ', 'สำหรับ', 'ชื่อ', 'คัดเลือก', 'ยิ้ม', 'แสน', 'หวาน', 'ประจำ', 'ปี', 'ศึกษา', '2565', 'ยินดี', 'คน', 'ค่าย', 'คน', 'คัดเลือก']",3

"['อนุญาต', 'แอดมิน', 'ขาย', 'เซ็ท', 'ปริญญา', 'ใส่', '1', 'ราคา', 'ภาพ', 'เสื้อ', 'ไซต์', '40', 'กระดุม', 'เครื่องหมาย', '100', 'บาท']",1

"['ลืม', 'กุญแจ', 'โรง', 'อาหาร', '40', 'โต๊ะ', 'แถว', 'ร้าน', 'อาหาร', 'อิสลาม', 'เจ้าของ', 'ติดต่อ']",0

"['1', 'ขาย', 'เครื่อง', 'คิดเลข', 'deli', 'd', '82es', 'plus', 'ราคา', 'เดิม', '599', 'ลด', '400', 'บาท']",3

"['Resume', 'ตัว', 'Super', 'Resume', 'เตรียม', 'Resume', 'งาน', 'ENG', 'KMUTNB', 'Super', 'HiTech', 'Job', 'fair', '2023', 'คน', 'พลาด', 'โอกาส', 'สมัคร', 'งาน', 'โอกาส', 'สัมภาษณ์']",3

"['ท่าน', 'ใด', 'ลืม', 'กุญแจ', 'รถ', 'ลาน', 'มะเร็ง', 'วทอ', 'ติดต่อ', 'ป้อม', 'ยาม', 'หน้า', 'ตึก', 'สถาปัตย์']",0

"['ข่าว', 'ดี', 'สำหรับ', 'น้อง', 'กล้า', 'ชุมนุม', 'วิชาการ', 'สันทนา', 'สมัคร', 'มือไมค์', 'สมัคร', 'ศึกษา', 'คณะวิศวกรรมศาสตร์']",3

"['สมัคร', 'ค่าย', 'น้า', 'คณะ', 'กด', 'ลิงก์']",3

"['ปล่อย', 'เช่า', 'แนะนำ', 'ห้อง', 'ว่าง', 'ราคา', '6000', 'บาท', 'เดือน']",1

"['เจอ', 'อยู่ตึก', '62', 'ชั้น', '8']",0

"['หา', 'เครื่อง', 'คิดเลข', 'CASIO', 'รุ่น', 'fx', '991', 'EX', 'ราคา', 'เบา', 'ขอบคุณ', 'ล่วงหน้า']",3

"['อนุญาติ', 'ขาย', 'เครื่อง', 'ลด', 'ชื้น', 'มือ', '2', 'สภาพ', 'เอี่ยม', 'งาน', '1']",1

"['ไอแพด', 'ลืม', 'ห้อง', 'ปฏิบัติการ', 'ฟิสิกส์', 'แล็ปฟิสิกส์', 'พรุ่ง', '0800', 'น']",0

"['เช่า', 'คอนโด', 'รีเจ้นท์', 'บางซ่อน', 'เฟส', '27', 'ห่าง', '300', 'ม', 'mrt', 'ซ่อน', 'ขนาด', '28', 'ตรม', 'สัญญา', '1', 'ปี', 'มัด', '2', 'เดือน', 'เช่า', '6500', 'บาท', 'เดือน', 'ตู้', 'เย็น', 'เครื่อง', 'ซัก', 'ผ้า', 'จอด', 'รถ', 'ไฟ', 'จ่าย', 'ไฟฟ้า', 'น้ำ', '18', 'บาท', 'หน่วย', 'โทร', 'line', '0892004894']",3

"['รอบ', 'โครงการ', 'คัดเลือก', 'กระจาย', 'โอกาศ', 'ปวชปวสมีเกณฑ์', 'สมัคร', 'หรอ']",3

"['ต้องการ', 'ตัด', 'อะคริลิค', 'เลเซอร์คัท', 'อะคริลิค', 'สี', 'ขนาด', 'ต้องการ', 'ตัด', 'วัสดุ', 'ทัก', 'พูดคุย', 'ราคา', 'รัก', 'เหมาะ', 'ศึกษา', 'ประเมิน', 'ราคา', 'ติดต่อ', 'เพจ']",1

"['Smile', 'Laser', 'Cutting', 'ตัด', 'อะคริลิค', 'เลเซอร์คัท', 'ราคา', 'เยาว์', 'ลูกค้า', 'สนใจ', 'ทัก', 'สอบถาม', 'ประเมิน', 'ราคา']",1

"['น้อง', 'ศึกษา', 'คน', 'ทำ', 'บัตร', 'ขับขี่', 'หล่น', 'นั่ง', 'วิน', 'มอเตอร์ไซด์', 'ร้าน', 'เรือน', 'ชอุ่ม', 'Slow', 'Bar', 'Coffee', 'รบกวน', 'คน', 'รู้จัก', 'ติดต่อ', 'น้องที']",0

"['Iphone', 'ทิ้ง', 'ห้องน้ำ', 'ชาย', 'ฝาก', 'ป้อม', 'ยาม']",0

"['ค้า', 'บบ', 'พี่', 'น้องๆ', 'คน', 'ปริ้น', 'เอกสาร', 'เล่ม', 'รายงาน', 'ใบ', 'งาน', 'บริการ', 'น้า', 'ทัก']",1

"['แนะนำ', 'เรียน']",3

