date_time,username,user_id,post_type,text,text_uncut,image,post_url
2022-11-14 15:10:51,Sun ßüň,100017672355491,ประกาศของซื้อขาย,"['ขาย', '150', 'ซื้อ', 'สอง', 'นัด', 'มอ']",ขาย150 ครับ ซื้อมาใช้ไปแค่สองครั้ง นัดรับในมอครับ,https://m.facebook.com/photo/view_full_size/?fbid=1202354313696969&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=encrypted_tracking_data.0AY8agnTOsCq-OtrRaYIxQoCSmtcKCNnzwkkCJphXPKyvn6XY29tSWDuL0tK5sB1IZxomVEkBd2sZL7aBUoKYn5UpKtlG_V7JMR0fQaiCu-jXRCEIOCHcHzJ7ykWwBvyKbOHPI6a9T05La1kkjeGcJxYFVaQlXip6MVNNcJPPXZeOcOTFGpsWsSZcnfojA2-xI4QPeiLwg8HH5rjoOJZFp6vNzQJmp1zOBBKT1kOhadsImxgvlZBVDyY9QMwpJnm5u_et110bd4qkjEZdEl5jBSxClab8QZT_tKMSVM6KW9fBcT9fNBxkAXrbvo1ar40zBlCRJuCqwyj0oMxcNJLlJb4qs0d5hyqvBWWki7HmWOMTPulRk7KHNgDvUpZGxOKnq7BGQWSNNrcgjP-JuGVXx-YGLTZNJ4svwKlbGCW67jE9EGwq-oxxVSissoDsqys6BjjzNHEKvMvWwxdtKONkNvYvEmZ6zuAgA8sjt93UHuu8SzHFmnoaqx8zYsS52GTSaNuhG8KnjiUsMXC5qJUYMyFirwjIRgf39DjrEYJwVGMJzo2vsKXuV-9M4fwoDVDQOjkcWSnpPJXY5QLiWm2rEBa6lFKtJGEcMq4S9HCuNxnrZhITPEUwHO3hB4jAupgNPjcIU4U1FxZe_qpep_OaFwfLZZaxqke8rphHJ6XwGV1tk_TPfpayLMvvoC1G622KfmeoNidfeZIeThxPdcVfgY8XBgR2scGgYZjifjcXU-a9Xsfb-\-\Do-m_QyQw1CMtr0urcF2lT2p-zNh18gWbO5dBO652TDhXBtHi7mYVHaqj3BI_8DjEedttRGecRsWgY759qH7p4INgCkKf-L_1a6SH0FOeOMelYXEwxY1OtKYfER-zPBQcMCjYHU9gQflIppgXmWXhxr4uWIf1KakHjGV4KJMCKrRoJtunbW93JAvk7Ncom28fhCuqyniLoB-Q5BpEIeHczRT24UwxujNmhUeYeLOik8bc6J8usORvghy5nYmrk9xjkOrK4ElMWoBtpEFhqt0gXWWzbhwfSQMYjuq5TSuBpYURKXytXm-BC_UTUN8qsWznD5mxaYozK1cWXAPZjcaHkeLQFL65-wwBd0ZCIX0Yq2TRos0KGDs-y4dyaWuFpKiMw4m71fxgnAumWCtE&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1285686145564142/
2022-11-14 16:46:56,Janjira Eads,100008384193275,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอพัก', 'เดอะ', 'คอน', 'เนอ', 'ร์', 'ต้นเดือน', 'ธันวา', 'สัญญา', '12000', 'บาท', 'ขายต่อ', '7000', 'บาท', 'ห้อง', 'เดือน', '4700', 'เดือน', 'ไฟ', '7', 'น้ำ', '18', 'สแกน', 'ลายนิ้วมือ', 'หอ', 'แอร์', 'เครื่องทำน้ำอุ่น', 'ตู้เสื้อผ้า', 'โต๊ะ', 'เก้าอี้', 'เตียง', '5', 'ฟุต', 'ร้าน', 'กินแถว', 'เซเว่น', 'วิน', 'มอไซด์', 'สอบถาม', 'linefaiiead', 'สนใจ', 'inbox', 'ขาย', 'สัญญา', 'หอ']",ขายสัญญาหอพัก เดอะคอนเนอร์ พร้อมเข้าอยู่ต้นเดือนธันวา ค่าสัญญา12000บาท ขายต่อ7000 บาท ค่าห้องเดือนละ4700เดือน ค่าไฟ7 น้ำ18 สแกนลายนิ้วมือเข้าหอ มีแอร์เครื่องทำน้ำอุ่นตู้เสื้อผ้าโต๊ะเก้าอี้เตียง 5ฟุต ร้านของกินแถวนี้เยอะมาก ใกล้เซเว่นมาก ใกล้วินมอไซด์ สอบถามเพิ่มเติม Linefaiieads สนใจ inbox ได้เลย ขายสัญญาหอต่อ,https://m.facebook.com/photo/view_full_size/?fbid=3355336484755792&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1285729642226459/
2022-11-14 17:04:59,Kittituch Kiatpaiboon,100007807055197,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอพัก', 'smart', 'place', 'ต้นเดือน', 'ธันวาคม', 'สัญญา', '10000', 'ขาย', '8500', 'บาท', 'สนใจ', 'คุย', 'ขาย', 'ฝึกงาน', 'ต่างจังหวัด', 'เดือน', '4900', 'บาท', 'ไฟ', '8', 'บาท', 'น้ำ', '17', 'บาท', 'แอร์', 'โต๊ะ', 'เก้าอี้', 'กระจก', 'ตู้เสื้อผ้า', 'ชั้นวางของ', 'ซิ้ง', 'ล้างจาน', 'ระเบียง', 'ปลอดภัย', 'ดี', 'wifi', 'ห้อง', 'เครื่อง', 'ลิฟท์', 'ร้าน', 'ข้าว', 'หน้า', 'หอ', 'หากิน', 'สะดวก', 'คับ', 'จอด', 'รถมอเตอร์ไซค์', 'รถยนต์', 'คับ', 'สนใจ', 'ติดต่อ', '0992174341']",ขายสัญญาหอพัก smart place พร้อมเข้าอยู่ ต้นเดือนธันวาคม ค่าสัญญา 10000ขาย 8500บาทสนใจคุยได้ครับ ขายเพราะจะไปฝึกงานต่างจังหวัดครับ เดือนละ4900บาท ค่าไฟ8บาท น้ำ17บาท มีแอร์ โต๊ะเก้าอี้ กระจก ตู้เสื้อผ้าเพิ่มเติม ชั้นวางของ ซิ้งล้างจาน ระเบียง อยู่สบายปลอดภัยดีครับ WiFi ห้องละเครื่อง มีลิฟท์ ร้านข้าวหน้าหอ หากินสะดวกคับ มีที่ จอดรถมอเตอร์ไซค์ รถยนต์คับ สนใจติดต่อ 0992174341,https://m.facebook.com/photo/view_full_size/?fbid=3319729968297206&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1285738035558953/
2022-11-11 17:06:44,Pimmada Sangcharoen,100026688555215,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอพัก', 'time', 'mansion', 'ต้นเดือน', 'ธันวา', 'สัญญา', '10000', 'บาท', 'ห้อง', 'เดือน', '4600', 'จ่าย', 'ต้นเดือน', 'ถัดไป', '•', 'ค่าน้ำ', '4', 'หน่วย', '100', '฿', 'หน่วย', 'ต่อไป', '17', 'ไฟ', '7', 'มีค่า', 'สแกน', 'ลายนิ้วมือ', '50', 'บาท', '•', 'แอร์', 'เครื่องทำน้ำอุ่น', 'ตู้เสื้อผ้า', '3', 'ประตู', '•', 'wifi', 'ฟรี', 'ซื้อ', 'ท์', 'เต', 'อร', '์', '1000', 'จ่าย', 'จบ', '•', 'หอ', 'ร้านตัดผม', 'ร้าน', 'กินแถว', '•', 'เซเว่น', 'วิน', 'มอไซด์', 'สอบถาม', 'linerrttyy', '1234', 'tel', '0612845668', 'สนใจ', 'inbox', 'ขาย', 'สัญญา', 'หอพัก']",ขายสัญญาหอพัก Time mansion พร้อมเข้าอยู่ต้นเดือนธันวา ค่าสัญญา10000บาท ค่าห้องเดือนละ4600 จ่ายต้นเดือนถัดไป •ค่าน้ำ4หน่วยแรก100฿ หน่วยต่อไป17 ค่าไฟ7 มีค่าสแกนลายนิ้วมือ50บาทเพิ่มเติม •มีแอร์เครื่องทำน้ำอุ่นตู้เสื้อผ้า3ประตู •wifi ฟรีซื้อเราท์เตอร์เพิ่มได้1000จ่ายจบ •ใต้หอมีร้านตัดผม ร้านของกินแถวนี้เยอะมาก •ใกล้เซเว่นมาก ใกล้วินมอไซด์ สอบถามเพิ่มเติม Linerrttyy1234 Tel0612845668 สนใจ inbox ได้เลย ขายสัญญาหอพัก,https://m.facebook.com/photo/view_full_size/?fbid=1168876624011945&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1283599079106182/
2022-11-13 13:57:10,Oat Pengdilok,100009058218408,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอพัก', 'บ้าน', 'ร่มเย็น', 'สุข', '8500', 'บาท', 'ปกติ', '10000', 'ซอย', '171', 'ติดกับ', 'ซอย', '19', 'มหาลัย', 'รถ', 'พี่', 'วิน', 'เต็ม', 'หน้า', 'ซอย', '19', 'พี่', 'วิน', '20', 'บาท', 'ม', 'โพส', 'ขาย', 'ล่วงหน้า', 'ผม', 'ออกจาก', 'หอ', 'วันที่', '18', 'พฤศจิกายน', 'สนใจ', 'inbox', 'หอ', 'เดือน', '5000', 'บาท', 'น้ำ', '17', 'ไฟ', '5']",ขายสัญญาหอพักบ้านร่มเย็นมีสุข 8500 บาท ปกติ 10000 อยู่ซอย 171 อยู่ติดกับซอย 19 ไม่ไกลจากมหาลัยด้วยครับถ้าไม่มีรถมาใช้ พี่วินมีเต็มเลยหน้าซอย 19 พี่วินคิด 20 บาท ถึงหลัง ม เลยครับ โพสขายล่วงหน้าผมจะออกจากหอวันที่ 18 พฤศจิกายน สนใจinboxมาได้เลยครับ หอเดือนละ5000บาทครับ น้ำ17ค่าไฟ5ครับ,https://m.facebook.com/photo/view_full_size/?fbid=3210040539307855&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1284947832304640/
2022-11-12 13:45:51,Pawanrat Limkonglarp,100006570399471,ประกาศของซื้อขาย,"['ขาย', 'บัตร', 'big', 'mountain', '2022', 'จำนวน', '4', 'ใบ', 'ใบ', '1650', '฿', 'นัด', 'มอ', 'คับบ', 'ทริป', 'ล่ม', 'งานประจำ', '55555']",ขายบัตร big mountain 2022 จำนวน 4 ใบ ใบละ 1650฿ นัดรับหลังมอคับบ ทริปล่มเป็นงานประจำ 55555,https://m.facebook.com/photo/view_full_size/?fbid=3415239205371726&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=encrypted_tracking_data.0AY9XBHKUpAHr8eYu13-_wRVMNsDr_jGmqUd17ztxQbYxd2aexD6EGI1tuR47X2juk7UfGh82srv4VWFKep-PBCv_z-uK3kWDkKKWHRQ_h5oyYv0cMWX5TP-rp_SS7rztqfKeNyBvdlU6iguuix9YDlzOlhw92EPWmkQWE3M2pPzxbiGJCC-71UGmqGWYJQ7NkhjjAsME0a7dCNhjNh7p11JV9GTuqFRwclocgs6FLh-TTeXUwz2Zf8xR0aesWIFCGdcJNIn7Bf5_IWZyJQ9VwqqfR9ytFo_Sax-TJyINyDcpLGb9ay78nAIN4Qsb039s_bPN6dTEIc9z0x_pMHVp9-NA4_wxZrhWMrm48NPePDHnc7d7r15jR5PAuQcYh19qe_yd8EwJsshKfftdx24sCXePHVtPDOo6k_Y_PR-OYXquFgKXYk24tzvxgJdZWYggrenrdkGTGh9LR9YwWBzXYlqe1X8UBR2mHrO7pda3eI4ZKsidOGtDIh3-\-\XTCShjHAuAGbGvFWU_4VqmMcvUslkLvy1_hlcgy_iUFug_lbAK6Y_vf_ZELYcqYvg7QDuj0UyMYbkLrCjp1O6tVZXH_LTfm8HXXMcN6-IrE84lEb1OsJNZit3XEpZ3AyfmgDtfterNZfqeQmBaoNmlBDzfwInahSqE8rex7CJQTv_woxWmAd3Y5FgrzbPa0AlaKrBjQEeE5PFGxM_yv10Eyxf9PzmdhD0ELY0CmseOU3R9i6gXfb6wp3iK3UHLSUwa5fOe3F_jUwFErSXIhh9_ihwKWVJ3le5hI0_pTdRZ_zFLO-Tte8AWskmUDTgjIyMVc6htpNEzF4p-7jYCB3gYvW9s5jyl3cXEGfAwtChFu2YuIE8XBWrElaxkyyarNgY9DJAsW616L-RX5gc0xEiPQafQ7PKQFiqa-jZV9pLHyzAyZuGChHFhxBFL6NGhKI_KGF5SWBHLVYOPl8uz9xLRPemDrTOjFZNC_mmJCMnhsRtkKwx2m1F7CfBEBQIrKllXcEL66j0UHLv8R40Cn42V7TRYY5pbrboiadz8jd_Hvw6qDAYxGwxMprZEUkbMaLhNoxsTnHUXtipY67HwNfmuoNex5qcOs-QBxMEbfML_6HGuHqlA&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1284241189041971/
2022-11-13 22:42:49,Nichaphat Nonkru,100004414836262,ประกาศของซื้อขาย,"['กล่อง', 'ใส่', 'อเนกประสงค์', 'ขาย', 'เซ็ต', '100', 'บาท']",กล่องใส่ของอเนกประสงค์ ขายยกเซ็ต 100บาท,https://m.facebook.com/photo/view_full_size/?fbid=2344222409068231&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=encrypted_tracking_data.0AY8jTUblZ_HyElnv__ekWJOrYasxJJ-khvjW13tdBfrFmAZEh9aWDME5sHhtFKsZBgDPooXJGlB1xMT_0dFtcNh3nnT_EQamoEdepWS8h69eeGuhYmeyN4ncsI71-Yzo250J7ss0qr0MPWogbJAZ6vsrhYKkn6p7mZiUM-\-\Zej560LiZZ-plpUSoZpfrdkb0IkCanrlNDmOVKxQvvMILOj7Tf40MGQrfntDtBVdsN9oaENg1AbVXREwu6OKcJtJla5USNYif-GfHtOXh9WjONjLPbZQh9RezMwqtZTALvhIcq1g8Jo57HhOlj9A0BFvD948rM35ADlBpmnP9G7GpHQLtZHjoZuTtVxM30_h4-sWv2sHuBtT0LxJSVwrnrjLJWKKDrrssDgVZwIeLhKjxhuygz9aBStRlNsRWaCzbBskcAV30Wncm6860FY9utfiru2nJgDvzd7AXGvJwGjLZy5Nivy-WmXV4K6_mKSCBfZo165t-Quk1hgQaWyynctzoEQ_opM6bFB0inRQOWYDShbUTqbGfG-7NHzVPo1seyWzDW5vV2kELY_zSUCbTM558LmonFaJCeIfuIhQjPylFSFky3na9uZveACihIuMmBDQJgNBd9MSRT-i8V8g955RfG6c26_oaKMQy4zwHeTlfhac5fh9zwO9HlB7w4ZPoKhCA2YAwCk8BymF7mH1sd6yuUbzkcK0X6MziynB6jHl4ZPVsWezaKthk3kegb9Mb6brE9Y6FRqswwsE5kiUhN2HiKjZLIzhtBY-beq7KaT7w36LbznG3xpTosuLSr3VSL7Q49r65FiPSXIjk90jc1l0c6lw89ML1nZdcVzNtL2x1m06ydaWdFNv1Fwgo6TPXeyWazmY5uUtfbHGAMUXGeDIDhDJHI2qrvRs4sdqNehSqmZ3kPu4M44aRylEXlPQZGEorwDouiLxoGAvvSScC0fz44mvSPioSNWzYEkq_5XFR8lfMcxRcnBYQeYfcMfmVwOm4MMWRaKPOAh-FU2Crm6NFKWUp5Jt8bz-AN90yRv53dACPsI9XXuQIGW38ZU00atSgzVvaRJG-forkKQze8obALjRIkKbwQeaFu6oMlv6-5_E5LuBpp7eFYPe4eAY0Dfk&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1285221972277226/
2022-11-14 12:10:03,ครัวป้าชวน,100057308304457,ประกาศของหาย,"['บัตร', 'ทำ', 'หล่น', 'ครัว', 'ป้า', 'ชวน', '085', '1302434']",บัตรใครทำหล่นมารับได้ที่ครัวป้าชวนนะคะ 085 1302434,https://m.facebook.com/photo/view_full_size/?fbid=613715090548762&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=encrypted_tracking_data.0AY-bzYjCf-bUyZ2odgAA4Vxpln59sdwAPFx43xHEVFY2OmU1XclsDTMI8fIgcjcSKOdgGAqW0N7nP9mDLhNo3sCyQkU1dkxXSDkPyy_DvmuHzHIKMoSf8n7Zi3nukgsKas5LBFewzQ7rR9_0PR0j8fif-DA70-ytwCYXhSHW0FEPJuG8DTpqOf9tgh2Y-xo38NIKfLgbsU_CvyvVaCgC5fenLeeHTt8z9hhu5pE6xsLOd4iC7Xw7DILd9S0Oo5fEtnwyldjwY8Khc5VLC9753c3BLan-lXt0bh2VOrEHVelsZr7RzwMZ9yZCD_LADVoJb0UDhlK5UKlqrisnkJl2gDN88KZOMbbRMXfnWIFu5qH_1DBjYHld9xC5NhHu6uiQk7gJ4UCFVHQk5IiDuUgK0IrTnp006pzMAVc3HDO1S-92-lIS7-TYKbO40qYvK38wq8IONDCvJW8MfuRJSOVtBS-6-fxt7kINpNx1InVwfJR3m9mxvfF4DmoqtzNmUvhx56p4J2VC3wlvgeoCmUsi_Fuu9zbPmTXn7tg4IQzSrqL53OzgdLXfEMxybTKhEE0Sm9V7LMLJGcPFR9hzaMX8WLI0aJYDoUCnZiCcJk8qBMScp8ikCIKW4NBY17A1aii1QtkKMmVGqBejteZ3jsOsWVwLDUUn17rubwEwRgbJPC62DxbV5bgrsVgmC4uHhO9Sqiz1fIOFdKm3jIEi27s4EuWSOXpzgtQsKvb-dLkfuDkFRwhcVmr3TUyKcP7fbnshN5NWUAvRUStxcLYjWVvNMHtY1TrWwyT6PR3OBxEOtUp1Z8V3F2okrJuhV3XP8qPwWn9iYvh9TvocFJ0VeC5yUalx2VnnLHbNf5ClEUCuJds17-YN1dU4qAKVgOcJGSJEwAVUAFeA6N1Pc10Rs2-LVOKJAYtdPbDhkITjk3MhqpFjK-ZiwK3VSwNBjQJg8-bIhhl-i2V0in_6GXVYurJ_g7uTknn3Dpfm49RE15_QkLyT7ie5WXxR-tJs_h6c1LGhdR97tUHSIEPad64iy_RuIzkfwQk8_eBxqj_obVYdVdqFZ0ce6Kgaj066bkZ0Yd0CUcg3cUIt1AY2JEWXNsFedXhL1sJMQs3MusvVkUcLy0uxVnjM1L2bUOHgGwF-jtUmvhbcM5e7DkMClEimC_1YrRkBGBQKkt4QpoSOzJW_RilvAK8yF5KzcDPi0z424FzDesp5lmDcevkLlMCUQqUt84OefsHti25c238KYW2Bh0ZiOLh6dqV31n7UWARRjN6mUinApsWjy7J1hPSwWzyRzfoBUS4pN2xVmnUPY8_U_VZZMIiYlzyozJ1ksC-V-P0jmwODFMes45GHEeUAmMJF17R2yxw3R3X9joPpVqxzuUdzTII1EyFyBHgst-WXYblcegxd8x9xDDFSPtKgEke9ywAcZTgfJJJgxekV0C_78MnFzvXWgMt_Oky-oNWMAhTC4nOOWZMVw_BLUxoxH_VIZaltenpulo4L2VCqABYkJ8v46aD_aowsEjZbfUqA1LyS_3g2g0cs_aQyG9R6ICWcoZwgLJITzG4bDfxUdt-6xtIUUPWYEDNP2euwimwrk1wRl4xkHChM-WtiewkuWpvsjq7BTSKWghB4eUGHdBrbvv-Lv213YgWyhTcV0VFJdcjm7p7mVDHnOCzOKp3igrNZIo-JuTHyWbOrYgFjuLrnqogFge19kno4EaoPapein0Y_vXlckM0ZAhY&__tn__=%2Cg,https://m.facebook.com/groups/197822284350539/permalink/1285609515571805/
2022-11-14 11:00:17,แคท,100009299151170,ประกาศของซื้อขาย,"['ขาย', 'บัตร', 'toy', '4', 'ใบ', 'ใบ', '180']",ขายบัตรthe toys 4ใบ ใบละ180ค่ะ,,https://m.facebook.com/groups/197822284350539/permalink/1285576088908481/
2022-11-13 10:53:06,นิรัชพร รุจิรัตนากร,100002436992795,ประกาศของซื้อขาย,"['ขาย', 'บัตร', 'bmmf', '12', 'จำนวน', '3', 'ใบ', 'ใบ', '1650', 'นัด', 'มอ']",ขายบัตร BMMF12 จำนวน 3 ใบ ใบละ 1650 นัดรับหลังมอ,,https://m.facebook.com/groups/197822284350539/permalink/1284857738980316/
