,date_time,username,user_id,post_type,text,image
0,2022-10-29 17:38:20,Pattaranan Khachai,100008160340707,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอพัก', 'หญิง', 'กาญจน์', 'ห้อง', 'ตึก', 'ตึก', '3', 'ติดกับ', 'บ้านเรือน', 'ไทย', 'ชั้น', '5', 'ลม', 'เย็น', 'ตอนเช้า', 'แดด', 'แรง', 'เสียง', 'สงบ', 'เดิน', 'เหนื่อย', 'ประตู', 'มอ', 'ออกมา', 'เลี้ยวซ้าย', 'ตรงข้าม', 'หอ', 'ชาย', 'จินตนา', 'เดินทาง', 'สะดวก', 'ร้านอาหาร', 'จิปาถะ', 'เจ้าของ', 'หอ', 'ใจ', 'ดีมาก', 'ซ่อม', 'ติดต่อ', 'เจ้าของ', 'หอ', 'ผู้ดูแล', 'หอคอย', 'ทำความสะอาด', 'ที่จอดรถ', 'มอเตอร์ไซค์', 'รายละเอียด', 'ค่าใช้จ่าย', 'สัญญา', 'ประกัน', 'ห้อง', '10000', 'บาท', 'ห้อง', 'เดือน', '5000', 'บาท', '15000', 'บาท', 'สัญญา', '1', 'ปี', 'ตอนนี้', '9', 'เดือน', 'เดือน', 'พฤศจิก', 'รก', 'ฎา', 'หมดสัญญา', 'เดือน', 'กรกฎาคม', 'พศ', '2566', 'รายละเอียด', 'ห้อง', 'ห้อง', 'เดือน', '5000', 'บาท', 'ค่าน้ำ', '8', 'บาท', 'ขั้นต่ำ', '50', 'บาท', 'เดือน', 'ไฟ', '18', 'บาท', 'มีค่า', 'ส่วนกลาง', 'กุญแจ', 'คีย์', 'การ์ด', '1', 'ชุด', 'สิ่งอำนวยความสะดวก', 'หอ', 'เครื่องซักผ้า', 'ชั้น', '1', '3', 'เครื่อง', 'เครื่องกรองน้ำ', 'ชั้น', '1', '1', 'เครื่อง', 'ตู้', 'กด', 'เซเว่น', '1', 'เครื่อง', 'ของกิน', 'เครื่องใช้ไฟฟ้า', 'เฟอร์นิเจอร์', 'ห้อง', 'แอร์', 'ตู้เสื้อผ้า', 'เตียง', '5', 'ฟุต', 'โต๊ะ', '1', 'ตัว', 'เก้าอี้', '2', 'ตัว', 'ระเบียบ', 'ราวตากผ้า', 'ตาข่าย', 'นก', 'ห้องน้ำ', 'ชั้นวางของ', '2', 'ตำแหน่ง', 'ฝักบัว', 'หน้า', 'กระจก', 'free', 'wifi', '1', 'user', 'ใช้ได้', '2', 'เครื่อง', 'สนใจ', 'ib', 'สอบถาม', 'ติดต่อ', 'ดู', 'ห้อง', 'แจ้ง', 'ปล', 'รูปหน้า', 'ตึก', 'ถ่าย', 'ตอนกลางคืน', 'ฝนตก', 'โดยปกติ', 'มืด', 'แล้วก็', 'วังเวง', 'ห้อง', 'ทำความสะอาด', 'เรียบร้อย', 'รูป', 'ห้อง', 'เจ้าของ', 'หอ', 'ห้อง']",https://m.facebook.com/photo/view_full_size/?fbid=3458293284452649&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
1,2022-10-29 17:20:06,ปริญญา พรมพัตร คับ,100006938178305,ประกาศของหาย,"['หา', 'แอร์', 'ต', 'เคส', 'ลาย', 'สลัก', 'หาย', 'ห้องสมุด', 'ชั้น', '6', 'วันที่', '19', 'ตุลา']",https://m.facebook.com/photo/view_full_size/?fbid=3252306315010609&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
2,2022-10-28 21:09:56,Jum Bo,100014132670545,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอ', 'atom', 'place', 'สัญญา', 'ห้อง', 'เดือน', 'สุดท้าย', 'จ่าย', '15000', 'บาท', 'สัญญา', 'เดิม', '16000', 'บาท', 'ได้คืน', '10000', 'บาท', 'เดือน', 'ธันวาคม', 'ห้อง', '26', 'ตรม', 'ชั้น', '4', 'วิว', 'ด้านหน้า', 'ห้อง', 'เดือน', '6000', 'บาท', 'น้ำ', 'หน่วย', '18', 'บาท', 'ไฟ', 'หน่วย', '8', 'บาท', 'เฟอร์นิเจอร์', 'บิ้วท์', 'อิน', 'ตู้เย็น', 'ทีวี', '42', 'นิ้ว', 'แอร์', 'ลิฟต์', 'เครื่องทำน้ำอุ่น', 'ที่นอน', '6', 'ฟุต', 'นอน', 'internet', 'wifi', '4', 'user', 'ฟรี', 'เครื่อง', 'ทำ', 'อุ่น', 'ห้องน้ำ', 'แยก', 'โซน', 'เปียก', 'แห้ง', 'ปลั้ก', 'ห้อง', 'ลิฟต์', 'ประตูเข้า', 'หอ', 'คีย์', 'การ์ด', 'กุญแจ', '2', 'ดอก', 'คีย์', 'การ์ด', '2', 'ใบ', 'ไม่ต้อง', 'เสียเงิน', 'ตู้', 'ซักผ้า', 'หยอด', 'เหรียญ', 'ตู้', 'กดน้ำ', 'ชั้น', '6', 'ส่วนกลาง', 'นั่ง', 'อ่านหนังสือ', 'ติด', 'ซุ่ม', 'คา', 'เฟ', 'สะดวก', 'เวลา', 'อ่านหนังสือ', '711', 'เลี้ยง', 'แมว', 'สนใจ', 'ห้อง', 'inbox']",https://m.facebook.com/photo/view_full_size/?fbid=1505580833256325&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
3,2022-10-28 01:05:07,KMUTNB Community,655260745960523,ประกาศของซื้อขาย,"['ตู้เย็น', 'มือสอง', 'สภาพ', 'ดี', 'ขาย', 'รูป', 'ราคา']",
4,2022-10-28 20:24:43,Tsukishima Cher,100024769381268,ประกาศของหาย,"['รับคืน', 'ติดต่อ', 'inbox']",https://m.facebook.com/photo/view_full_size/?fbid=1302638560571778&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=qid.-5345097173309048102%3Amf_story_key.1273820820084008%3Atop_level_post_id.1273820820084008%3Atl_objid.1273820820084008%3Acontent_owner_id_new.100024769381268%3Apage_id.197822284350539%3Asrc.22%3Aphoto_id.1302638560571778%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-jB8Oi04nFmsHP%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22197822284350539%22%3A%7B%22page_id%22%3A197822284350539%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100024769381268%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1666963483%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1273820820084008%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100024769381268%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2Cg
5,2022-10-26 10:22:49,MaxNum Athikan,100025032878244,ประกาศของหาย,"['sound', 'peac', 'h', '1', 'ซ้าย', 'หาย', 'สถานที่', 'มอ', 'เจอ', 'รบกวน', 'ทัก', 'ขอบคุณ']",https://m.facebook.com/photo/view_full_size/?fbid=1252680852242999&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
6,2022-10-28 15:03:58,เดวิด เชง,100006305980242,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอ', 'วิน', 'เท', 'จ', 'อิน', 'เฮาส์', 'หมู่บ้าน', 'สิ', 'ริน', '2', 'ห้อง', 'ระเบียง', 'วิว', 'ดีมาก', 'หอ', '5500', '฿', 'น้ำ', '17', 'ไฟ', '7', 'เตียง', '6', 'ฟุต', 'ตู้เสื้อผ้า', 'โต๊ะเครื่องแป้ง', 'ตู้เย็น', 'เครื่องทำน้ำอุ่น', 'ชั้นวางของ', 'ขาย', 'สัญญา', '15500', 'สัญญา', 'ล่วงหน้า', 'ผ่อน', 'ประกัน', 'คีย์', 'การ์ด', 'กุญแจ', '500', '฿', 'มอเตอร์', 'ไซ', 'ด์', 'จอด', 'ฟรี', 'รถยนต์', '300', '฿', 'เดือน', 'คน', 'เตียง', 'lineid', 'yksrt']",https://m.facebook.com/photo/view_full_size/?fbid=3396394013914098&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
7,2022-10-28 21:40:32,KMUTNB Community,1105635556991565,ประกาศของซื้อขาย,"['ส่งต่อ', 'กระโปรง', 'นักศึกษา', 'เอ', '1', 'เอว', '25', '16', '2', 'เอว', '26', '16', 'ตัว', '100', 'ฟรี', 'นัด', 'มอ', 'รูป', 'dm', 'ka']",
8,2022-10-23 14:18:51,Techaphon Chadum,100001825838616,ประกาศของซื้อขาย,"['ขาย', 'สัญญา', 'หอ', 'st', 'place', 'ขาย', 'สัญญา', 'ห้อง', 'เดือน', 'สุดท้าย', 'จ่าย', '15000', 'บาท', 'สัญญา', 'เดิม', '16000', 'บาท', 'ได้คืน', '10000', 'บาท', 'เดือน', 'พฤศิ', 'กาย', 'น', 'ห้อง', '26', 'ตรม', 'ชั้น', '1', 'ห้อง', 'เดือน', '6000', 'บาท', 'น้ำ', 'หน่วย', '18', 'บาท', 'ไฟ', 'หน่วย', '7', 'บาท', 'เฟอร์นิเจอร์', 'บิ้วท์', 'อิน', 'ตู้เย็น', 'ทีวี', '42', 'นิ้ว', 'แอร์', 'ลิฟต์', 'ที่นอน', '6', 'ฟุต', 'นอน', 'internet', 'wifi', '4', 'user', 'ฟรี', 'เครื่อง', 'ทำ', 'อุ่น', 'ห้องน้ำ', 'แยก', 'โซน', 'เปียก', 'แห้ง', 'ปลั้ก', 'ห้อง', 'ลิฟต์', 'ประตูเข้า', 'หอ', 'คีย์', 'การ์ด', 'กุญแจ', '2', 'ดอก', 'คีย์', 'การ์ด', '2', 'ใบ', 'ไม่ต้อง', 'เสียเงิน', 'ตู้', 'ซักผ้า', 'หยอด', 'เหรียญ', 'ตู้', 'กดน้ำ', 'ฟิตเนส', 'ชั้น', '6', 'ร้านกาแฟ', 'ร้านอาหาร', 'ติด', 'ซุ่ม', 'คา', 'เฟ', 'สะดวก', 'เวลา', 'อ่านหนังสือ', '711', 'หอ', 'เลี้ยงสัตว์', 'สนใจ', 'ห้อง', 'ติด', 'ต่อมา', 'fb']",https://m.facebook.com/photo/view_full_size/?fbid=8028704367200345&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&_ft_=qid.-5345097173543697835%3Amf_story_key.1269806277152129%3Atop_level_post_id.1269806277152129%3Atl_objid.1269806277152129%3Acontent_owner_id_new.100001825838616%3Apage_id.197822284350539%3Asrc.22%3Aphoto_id.8028704367200345%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-bHmHVMAgDOzHl%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22197822284350539%22%3A%7B%22page_id%22%3A197822284350539%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100001825838616%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1666509531%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B1269806277152129%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100001825838616%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2Cg
9,2022-10-23 20:44:03,Pang Npm,100008557543599,ประกาศของซื้อขาย,"['ส่งต่อ', 'ของใช้', 'มจพ', 'ขาย', 'พัดลม', 'แอร์', 'ล้อเลื่อน', 'hatari', 'เจล', 'เย็น', 'รี', 'โหมด', 'จอ', 'เย็น', 'ใช้งาน', 'ปกติ', '1200', '฿', 'เครื่องปิ้งขนมปัง', '300', '฿', 'imarflex', '2', 'ชิ้น', 'ลด', '1500', '฿', '1300', '฿', 'ลด', 'บริการ', 'จัดส่ง', 'ระ', 'แวก', 'ซอย', 'วงศ์', 'สว่าง', '11', 'พื้นที่', 'ห่างไกล', 'จัดส่ง', 'บวก', '50', '฿']",https://m.facebook.com/photo/view_full_size/?fbid=2983825161912706&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg
