text,post_type
"['อัพเดท', '01082022', 'แผนที่', 'เดิม', 'ลอง', 'ทำ', 'แผนที่', 'หอพัก', 'มจพกรุงเทพ', 'แนวทาง', 'น้อง', 'หอ', 'พัก', 'น้อง', 'คน', 'หา', 'หอ', 'พัก', 'ติดต่อ', 'หอ', 'พัก', '…', 'โหลด', 'แผนที่', 'ชัดเจน', 'ภาพ', 'แตก', 'ลิงค์']",2
"['พี่วิน', 'มอ', 'ขับ', 'รถ', 'ตึงจัง', 'คับ', 'นึก', 'แทรค']",2
"['Make', 'friend', 'คน', 'นนน']",2
"['อย่า', 'ลืม', 'งาน', 'sathaparak', 'สถาปรัก', 'หน้า', 'ตึก', 'สถาปัตวัน', '10', 'กุมภานี้', 'น้า', 'บูธขาย', 'ดนตรี', 'สด', 'ประกวด', 'ดาว', 'เดือน', 'เพียบ', 'ย', 'อย่า', 'ลืม', 'แวะ', 'ร้าน', 'ตัว', 'มารดา', 'ดื่ม', 'น้ำ', 'อิตาเลี่ยน', 'โซดา', 'ชื่นใจ', 'แวะ', 'บูธ', 'สอย', 'ดาวสอยใจ', 'สนุก', 'รางวัล', 'คุ้ม', 'แน่นอน']",2
"['วาน', 'จอง', 'เลออ', 'เลิก', 'ตีฉิ่ง', 'ปิ้ง', 'บาบีคิว', 'เชิญ', 'ท่าน', 'พับ', 'กบ', 'แฮร่', 'ร้าน', 'Barbe', 'ชมรม', 'ดนตรี', 'ไทย', 'มงกุฎวดี', 'Kmutnb', 'เล่น', 'ดนตรี', 'รสชาติ', 'บาบีคิว', 'สอง', 'ลอง', 'ไม้', 'ซะใจ', 'งาน', 'ดนตรี', 'Music', 'Award', '24', '89', 'กุมภาพันธ์', '2566', 'ลาน', 'สวนปาล์ม', 'หน้า', 'ตึก', '40', '1700', 'น', 'ป']",2
"['หา', 'เครื่อง', 'เลข', 'มือ', '2', 'ราคา', 'รัก', 'ดี', 'ทำ', 'หาย', 'ตอน', 'สอบ']",0
"['หา', 'เพื่อนเมคเฟรน', 'กันค้า', 'บบ']",2
"['งาน', 'กีฬาสีวิทยา', 'จบ', 'หรอ']",2
"['ฝาก', 'ร้าน', 'ค้าบ', 'น้อง', 'วัย', 'รุ่น', 'มจพ', 'คน', 'สัก', 'ร้าน', 'หน้า', '11', 'เขต', 'บางซื่อ', 'กทม', 'ig', '19', 'inktattoo', 'งาน', 'สัก', 'งาน', 'ศิลป์', 'ชี้', 'วัด', 'คุณภาพ', 'คน']",2
"['งาน', 'ตลาด', 'ลาน', 'สวนปาล์ม', 'กี่', 'ทุ่มคะ']",2
"['ทำ', 'บัตร', 'นศ', 'หล่น', 'บริเวณ', 'งาน', 'มจพวัน', 'ทัก']",0
"['ฮ๊าบ', 'บบบบ', 'หา', 'น', 'นนน', 'ฮ้าบบบบ']",2
"['ปล่อย', 'กระทะ', 'ไฟฟ้า', 'anitech', '1200', 'ซื้อ', 'แกะ', '2', 'เครื่อง', 'นัด', 'มอ']",1
"['ลืมบัตร', 'ยูไลฟ์', 'หน้า', 'ตึกเคมี', 'ติดต่อ']",0
"['เรื่อง', 'สูบ', 'บุหรี่', 'มอ', 'สวน', 'ปาล์ม', 'สูบ', 'อ่ะ', 'เวลา', 'สูบ', 'สูบ', 'คน', 'สวน', 'ปาล์ม', 'คน', 'นั่ง', 'อ่าน', 'หนังสือ', 'คน', 'ชอบ', 'กลิ่น', 'บุหรี่', 'สูบ', 'มอมัน', 'สูบ', 'อ่ะ', 'สามัญสำนึก', 'คน', 'ควบคุม', 'ตัว']",2
"['สอบถาม', 'เกี่ยว', 'หอ', 'มจพ', 'รี', 'วิว', 'ฟัง']",2
"['มอ', 'ตรวจ', 'ATK', 'ใบ', 'ตรวจ']",2
"['แถว', 'มอ', 'ร้าน', 'ขาย', '”', 'สายกีต้า', '”']",1
"['ฝีมือ', 'สมาชิก', 'ท่าน', 'ใด']",2
"['ทำ', 'หู', 'ฟัง', 'ตก', 'หน้า', 'ตึกวิทยา', 'รับคืน', 'ร้าน', 'ชาบัง']",0
"['ลืม', 'บัตร', 'หน้า', 'icit', 'FINN', 'Space', '1700', 'ฝาก', 'พนักงาน', 'เซเว่น', 'ตึกวิทย์']",0
"['หา', 'หอพักใกล้', 'มอ', 'เดิน', 'เรท', '20004000']",2
"['หา', 'เพื่อน', 'ชะตา', 'กรรม', 'บบ']",2
"['อนุญาต', 'สอบถาม', 'สาขา', 'วิชา', 'InAER', 'PNETPE', 'RS', 'สอบขอ', 'ใบ', 'กว', 'ไหม', 'หลักสูตร', 'เทียบ', 'โอน', '3', 'ปี', 'แนะนำ', 'สำหรับ', '2', 'สาขา', 'วิชา', 'ขอบคุณ']",2
"['เจอ', 'บัตร', 'นศ', 'ทำ', 'บัตร', 'หาย', 'คอมเม้น']",0
"['รู้', 'ไหม', 'วิชา', 'statistics', 'everyday', 'life', '040503001', 'ตัดเกรด', 'A', 'ไหร่']",2
"['มาเมคเฟรนกัน', 'นนน']",2
"['หลุดจอง', 'เช่า', 'สิรินพาร์ค', '3', 'ม', 'เฟอร์นิเจอร์', 'จอด', 'มอไซต์', 'น้ำ', '4', 'หน่วย', '100', '฿', 'ไฟ', '8', '฿', 'ฟรี', 'WiFi', 'แรง', '5000', '฿', 'เดือน', 'ลด', 'ห้อง', '50', 'เดือน', 'ปล', 'ห้อง', 'รูป', 'นิดนึง', 'สัญญา', '1', 'ปี']",1
"['Line', 'open', 'chat', 'เมคเฟรนกัน', 'งับบ']",2
"['ปี', '1', 'หอ', 'หอ', 'ดี', 'รบกวน', 'รี', 'วิว']",2
"['พน', 'งาน', 'กิน', 'ขาย', 'ด', 'นตรี', 'หน้าตึก', '40', 'สวนปาร์ม']",2
"['ผม', 'สิทธิ', 'TCAS', 'อ่าน', 'เอกสาร', 'ย้อนหลัง', 'ทำ', 'มหาลัย', 'ใบ', 'แพทย์', '4', 'กุมภาพันธ์', '66', 'สิทธิ', 'TCAS', '7', '8', 'กพ', '66', 'ผม', 'สมเหตุสมผล', 'ใบ', 'ประกาศ', 'ชื่อ', 'สิทธิ', 'ศึกษา', 'ถาม', 'เพื่อน', 'พี่', 'คณะวิทยาศาสตร์', 'ประยุกค์', '11']",2
['เมคเฟรน'],2
"['ตู้', 'กด', 'เงิน', 'มกิน', 'บัตร', 'ทำ']",2
"['หา', 'หอหลัง', 'มอ', 'มอ', 'ราคา', '46']",2
"['หา', 'คน', 'ทำ', 'บัตร', 'หาย', 'ตึก', '81', 'ห้อง', '619']",0
"['หาหอ', 'พัก', 'คอนโด', 'เรทราคา', '45005500', 'เดือน', 'เฟอร์', 'ปลอด', 'ภัย', 'ดี', 'เดินทาง', 'มอ', 'สะดวก']",2
"['เมคเฟรน', 'คุย', 'เพี้ยน', 'กัด', 'ฉีด', 'ยา', 'igbbkkorn']",2
"['นื้เจอ', 'บู๊ท', 'เดิม', 'กุ้ง', 'ม่อน', 'ทะเล', 'ดอง', 'วาน', 'กระแส', 'ตอบ', 'ดี', 'น้ำ', 'จิ้ม', 'แซบ', 'ซี๊ด', 'ทุ่ม', 'ขอบคุณ', 'ลูกค้า', 'คน', 'อุดหนุน', 'เต็ม', 'เดิม', 'สุดท้าย', 'ววว', 'ฝาก', 'อุดหนุน', 'Music', 'Award', '24', 'บู๊ทตรง', 'งาน', 'ดนตรี', 'พระจอม', 'ตลาด', 'นัด', 'หน้า', 'ตึกสวน', 'ปาล์ม', 'ทีม', 'งาน', 'น้ำลาย', 'ยืด']",2
"['หวาน', 'เย็น', 'หวาน', 'ใจดี', 'ค้า', 'เชิญ', 'พี่', 'น้อง', 'แวะ', 'หา', 'อุดหนุน', 'ร้าน', 'เจอ', 'กั๊นน', '1630', 'น', 'งาน', 'ดนตรี', 'Music', 'Award', '24', 'ลาน', 'สวน', 'ปาล์ม', 'ตึก', '40']",2
"['ลืม', 'airpods', 'ลาน', 'จอด', 'รถ', 'มอไซร์', 'ข', 'ตึก', 'นวมินทร์', 'รับคืน', 'ร้าวริม', 'น้ำ']",0
"['เดี๋ยว', 'ฝาก', 'ยาม']",0
"['ไก่', 'ทอด', 'หน้า', 'โรง', 'เรียน', 'ชมรมวิทยุ', 'อุดหนุน', 'ลาน', 'สวน', 'ปาล์ม', 'ตึก', '40', '8916', 'กุมภาพันธ์', '1630']",2
"['สอบถาม', 'พี่', 'สมัคร', 'เรียน', 'ตอน', 'โครงการ', 'โควต้า', 'รอ', 'สอบ', 'ขอบคุณ']",2
"['รุ่น', 'พี่', 'คน', 'แนะนำ', 'หอ', 'ดี', 'หนู', 'ปฐมนิเทศ', 'กิจกรรม', 'ทำ', 'เรียน', 'รบกวน']",2
"['หา', 'เพื่อน', 'IMI', 'ค้าบ']",2
"['หา', 'เพื่อน', 'พี่', 'เมคเฟรน', 'IBIT', 'ค้าบ']",2
"['เรียน', '6', 'ตัว', 'ดร้อปไป', '3', 'ตัว', 'ปัญหา', 'ไหม']",2
"['รู้', 'ตอน', 'เช้า', 'แถว', 'มอ', 'ขาย', 'น้ำ', 'เต้า', 'หู้']",2
"['ขาย', 'ตลาด', 'จันทร์', 'มอ', 'ติดต่อ', 'ไห', 'นคะ']",2
"['ก๊อก', 'เพื่อน', 'พี่ๆ', 'น้อง', 'ท่าน', 'ใด', 'สนใจ', 'ร้าน', 'ขาย', 'Creative', 'Market', 'คณะสถาปัตย์', '10', 'กุมภาพันธ์', '2566', 'แสกน', 'คิว', 'อาร์', 'โค้ด', 'ทะเบียน', 'จองบูธ', 'น้า', 'รีบ', 'น้า']",2
"['ถาม', 'รู้', 'ปี', '1', 'จ่าย', 'เทอม', 'ตอน', 'ใช้จ่าย', 'รายงาน', 'ตัว', 'ตอน', 'ประกาศ']",2
"['หา', 'เพื่อน']",2
"['ฟัง', 'รีวิว', 'IMI', 'อุปกรณ์', 'แพทย์', 'พี่', 'เรียน', 'ดี', 'ไหม']",2
"['รู้', 'เรื่อง', 'เทียบ', 'โอน', 'ปวสครับ', 'เรียน', 'ไหม']",2
"['พัก', 'อพาร์ตเมนต์ศรีสันติธรรม', 'รีวิว', 'สนใจ', 'คน', 'พื้นที่', 'ดู', 'กิน', 'เดินทาง', 'สะดวก']",2
"['หา', 'เพื่อน', 'IE', 'ค้า', 'บบ']",2
"['หา', 'สัญญา', 'หอ', 'มอ', 'เดือน', 'มิถุนายน', 'งบ', '30004500', 'แนะนำ']",2
"['แนะนำ', 'โรง', 'แรม', 'พัก']",2
"['ต้องการ', 'เรียน', 'ฤดู', 'ร้อน', 'วิชา', '030513120', 'Signal', 'System', 'ต้องการ', 'เปิดเซคชั่น', 'จำนวน', 'คน', 'ต้องการ', 'ทัก', 'ขอบคุณ']",2
"['มจพกรุงเทพ', 'รอบ', '4', 'เปล่า', 'ตัว', 'เรียน', 'สาย', 'อาชีพ']",2
