text,post_type,check_post
"['อัพเดท', '01082022', 'แผนที่', 'เดิม', 'ลอง', 'ทำ', 'แผนที่', 'หอพัก', 'มจพกรุงเทพ', 'แนวทาง', 'น้อง', 'หอ', 'พัก', 'น้อง', 'คน', 'หา', 'หอ', 'พัก', 'ติดต่อ', 'หอ', 'พัก', '…', 'โหลด', 'แผนที่', 'ชัดเจน', 'ภาพ', 'แตก', 'ลิงค์']",2,2
"['สอบถาม', 'เกี่ยว', 'หอ', 'มจพ', 'รี', 'วิว', 'ฟัง']",2,2
"['หา', 'ร', 'ถ', 'กระบะ', 'ขน', 'ย้าย', 'หอ', 'ซอย', '11', 'เสาร์', '25']",2,2
"['หา', 'เพื่อน', 'กลุ่มไลน์']",2,2
"['ขาย', 'สัญญา', 'ไหม', 'หา', 'หอ', 'หาหอจริง', 'เมษา', 'มิถุนา', '555555', 'sp', 's', '9', 'salcha', 'mira', 'คอนโดแอสปาย', 'ลุมพินี', 'ขอบคุณ', 'ล่วงหน้า']",2,2
"['เจอ', 'กระเป๋า', 'ตัง', 'สี', 'น้ำเงิน', 'รูป', 'หาย', 'ตึก', '40', 'ชั้น', '3', 'แข่ง', 'วอลเลย์']",2,2
"['ปล่อย', '1500', '฿', 'pencil', 'gen', '1', 'มือ', '2', 'หัว', 'ปากกาแถม', 'กล่อง', 'งาน', 'ปี', 'นึง', 'สภาพ', 'ดี', 'ดู', 'รูป', 'ขาย', 'ไอ', 'แพด', 'นัด', 'หอหลัง', 'มอ']",1,1
"['หา', 'หอพัก', 'งบ', '30003500', 'บวก', 'ลบ', 'ติด', 'สัญญา', 'สอบ', 'final']",2,2
"['คณะ', 'วิชา', 'ไหม', 'เวลา', 'คะแนน', 'สอบ', 'Midterm', 'Final', 'วิชา', 'คะแนน', 'ศึกษา', 'โชว์', 'หน้า', 'จอ', 'ไลน์', 'ชื่อ', 'ศึกษา', 'เพื่อน', 'คณะ', 'ไหม', 'ระบบ', 'คน', 'ผม', 'ตัวอย่าง']",2,2
"['สอบถาม', 'พี่', 'ชื่อ', 'โครงการ', 'กีฬา', 'ประกาศ', 'ตอน', 'หรอ', 'เว็บ', 'ประกาศ', '10', 'กุมภา', '66']",2,2
"['เช่า', 'บ้าน', 'หมู่บ้านสิรีนพาร์ค', '2', 'พื้นที่', 'ใช้สอย', '200', 'ตรม', '4', 'ห้อง', 'นอน', '2', 'ห้องน้ำ', 'บ้าน', 'หน้า', '6', 'เมตร', 'จอด', 'รถ', 'คัน', 'สนใจ', 'โทร', '0813335375']",1,1
"['หาสัญญา', 'หอ', 'U', 'Life', 'Prime']",1,2
"['ขาย', 'โต๊ะดราฟมือ', 'สอง', 'ขนาด', 'A', '0', 'สภาพ', 'งาน', 'ปกติ', 'รอย', 'แตก', 'ตำหนิ', 'เวลา', 'งาน', 'ไฟ', 'ติด', '3', 'ดวง', 'แถม', 'Tslide', '3500', '฿', '3200', '฿', 'ขอบคุณ']",1,1
"['ค้า', 'บบ', 'พี่', 'น้องๆ', 'คน', 'ปริ้น', 'เอกสาร', 'เล่ม', 'รายงาน', 'ใบ', 'งาน', 'บริการ', 'น้า', 'ทัก', 'บ']",2,2
"['หา', 'เพื่อน', 'คั้บ', 'บบ']",2,2
"['หา', 'สัญญา', 'หอ', 'atom', 's', '9', 'ต้']",2,2
"['ขาย', 'เครื่อง', 'ปริ้นEPSON', 'L', '3210ecotank', 'ประหยัด', 'น้ำ', 'หมึก', 'ปริ้น', 'สแกน', 'ถ่าย', 'เอกสาร', 'ประกัน', '1', 'ปี', 'เต็ม', 'ศูนย์', 'ประเทศ', 'หมึก', 'เต็ม', 'สีสด', 'สวย', 'งาน', 'ขาย', '2800', '฿', 'รอง', 'นัด', 'มครับ']",1,1
"['อนุญาต', 'สอบถาม', 'เกี่ยว', 'สาขา', 'In', 'AER', 'เทียบโอน', 'แนะนำ', 'สำหรับ', 'สาขา', 'เรื่อง', 'เรียน', 'แนะนำ', 'ขอบคุณค่า']",2,2
"['หา', 'ร้าน', 'ขาย', 'ไดฟุกุสตอเบอรี่', 'ตอน', 'งาน', 'ดนตรี', 'ลาน', 'สวนปาล์ม', 'อร่อย', 'กกก', 'กิน']",2,2
"['หาคอนโด', 'Aspire', 'ราคา', 'ศึกษา']",2,2
"['ทำ', 'บัตร', 'ศึกษา', 'หาย', 'ชื่อ', 'พุ่มดารา', 'ความทรงจำ', 'นึก', 'กด', 'เงิน', 'ตู้', 'บัวหลวง', 'ไปรษณีย์', 'มอ', '8', 'กพ', 'เวลา', '1532', 'น', 'ขอบ', 'พระคุณ', 'แวะ', 'อ่าน', 'หา']",2,0
